Path,Physical,Source,Comment,Single-line comment,Block comment,Mixed,Empty,To Do
src/app/modules/auth/login/reducers/loginForm.js,18,16,2,2,0,2,2,0
src/app/modules/auth/login/reducers/loginProcess.js,42,38,1,1,0,0,3,0
src/app/modules/auth/login/components/index.js,5,4,0,0,0,0,1,0
src/app/modules/auth/login/actions/actionTypes.js,11,9,0,0,0,0,2,0
src/app/modules/auth/login/actions/actions.js,94,73,5,5,0,0,16,0
src/app/modules/shared/components/layout/Layout.css,1,0,0,0,0,0,1,0
src/app/modules/shared/components/layout/Layout.jsx,30,25,1,1,0,0,4,0
src/app/modules/shared/components/layout/Layout.test.js,27,24,0,0,0,0,3,0
src/app/modules/shared/components/navbar/NavBar.css,1,0,0,0,0,0,1,0
src/app/modules/shared/components/navbar/NavBar.jsx,19,16,0,0,0,0,3,0
src/app/modules/shared/components/navbar/NavBar.test.js,12,11,0,0,0,0,1,0
src/app/modules/shared/components/privateroute/PrivateRoute.jsx,25,22,0,0,0,0,3,0
src/app/modules/shared/components/privateroute/PrivateRoute.test.js,17,14,0,0,0,0,3,0
src/app/modules/auth/login/components/login-page/LoginPage.css,1,0,0,0,0,0,1,0
src/app/modules/auth/login/components/login-page/LoginPage.jsx,30,24,0,0,0,0,6,0
src/app/modules/auth/login/components/login-page/LoginPage.test.js,20,18,0,0,0,0,2,0
src/app/modules/auth/login/components/login-form-container/LoginFormContainer.jsx,49,38,4,4,0,1,8,1
src/app/modules/auth/login/components/login-form-container/LoginFormContainer.test.js,29,27,0,0,0,0,2,0
src/app/modules/auth/login/components/login-form-container/validate.js,11,10,0,0,0,0,1,0
src/app/modules/auth/login/components/login-form/LoginForm.css,15,12,0,0,0,0,3,0
src/app/modules/auth/login/components/login-form/LoginForm.jsx,81,69,6,2,4,0,6,0
src/app/modules/auth/login/components/login-form/LoginForm.test.js,20,17,0,0,0,0,3,0
